iter	Passed	Remaining
698	2562	1103
699	2565	1099
700	2569	1095
701	2573	1092
702	2576	1088
703	2579	1084
704	2583	1080
705	2586	1076
706	2589	1073
707	2592	1069
708	2596	1065
709	2599	1061
710	2603	1058
711	2607	1054
712	2611	1051
713	2614	1047
714	2618	1043
715	2621	1039
716	2625	1036
717	2628	1032
718	2631	1028
719	2635	1024
720	2638	1020
721	2641	1017
722	2645	1013
723	2648	1009
724	2653	1006
725	2656	1002
726	2660	998
727	2663	995
728	2666	991
729	2670	987
730	2673	983
731	2676	980
732	2680	976
733	2683	972
734	2686	968
735	2690	964
736	2693	961
737	2696	957
738	2699	953
739	2702	949
740	2706	945
741	2710	942
742	2714	938
743	2717	935
744	2721	931
745	2724	927
746	2728	924
747	2731	920
748	2735	916
749	2739	913
750	2742	909
751	2745	905
752	2749	901
753	2752	897
754	2755	894
755	2759	890
756	2762	886
757	2765	883
758	2769	879
759	2772	875
760	2776	871
761	2779	868
762	2782	864
763	2785	860
764	2789	856
765	2792	853
766	2795	849
767	2799	845
768	2802	841
769	2806	838
770	2809	834
771	2813	830
772	2816	827
773	2821	823
774	2824	820
775	2828	816
776	2832	813
777	2836	809
778	2839	805
779	2843	801
780	2848	798
781	2854	795
782	2859	792
783	2862	788
784	2866	784
785	2869	781
786	2873	777
787	2876	773
788	2881	770
789	2884	766
790	2888	763
791	2891	759
792	2894	755
793	2898	751
794	2902	748
795	2905	744
796	2909	740
797	2912	737
798	2916	733
799	2919	729
800	2922	726
801	2926	722
802	2930	718
803	2933	715
804	2937	711
805	2940	707
806	2943	703
807	2947	700
808	2951	696
809	2955	693
810	2959	689
811	2962	685
812	2965	682
813	2969	678
814	2972	674
815	2976	671
816	2979	667
817	2982	663
818	2985	659
819	2989	656
820	2992	652
821	2996	648
822	2999	645
823	3003	641
824	3006	637
825	3010	634
826	3013	630
827	3017	626
828	3020	623
829	3024	619
830	3027	615
831	3030	612
832	3034	608
833	3037	604
834	3042	601
835	3045	597
836	3048	593
837	3052	590
838	3055	586
839	3059	582
840	3062	579
841	3066	575
842	3069	571
843	3073	568
844	3076	564
845	3079	560
846	3083	556
847	3087	553
848	3091	549
849	3094	546
850	3097	542
851	3101	538
852	3104	535
853	3108	531
854	3111	527
855	3115	524
856	3119	520
857	3123	516
858	3126	513
859	3130	509
860	3133	505
